Actor,Movies
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Jeff Bridges,"R.I.P.D., Tucker: The Man and His Dream, Cutter's Way, The Amateurs, The Last Unicorn, The Men Who Stare at Goats, K-PAX, Thunderbolt and Lightfoot, The Giver, American Heart, The Big Lebowski, Blown Away, Pilchuck: A Dance with Fire, Alan Pakula: Going for Truth, The Yin and the Yang of Mr. Go, Fearless, Bad Times at the El Royale, Starman, See You in the Morning, Masked and Anonymous, Kiss Me Goodbye, A Dog Year, Wild Bill, Seabiscuit, Halls of Anger, Rancho Deluxe, Simpatico, The Iceman Cometh, The Mirror Has Two Faces, True Grit, The Fisher King, The Last Picture Show, Made in New Mexico, One Day Since Yesterday: Peter Bogdanovich & the Lost American Film, Big City Dick: Richard Peterson's First Movie, A Place at the Table, Hell or High Water, The Last American Hero, Nadine, Winter Kills, King Kong, Bucky A Fuller Future, The Morning After, Hearts of the West, Seventh Son, Living in the Future's Past, 8 Million Ways to Die, The American Success Company, The Achievers: The Story of the Lebowski Fans, TRON: Legacy, Fat City, Somebody Killed Her Husband, Against All Odds, White Squall, The Door in the Floor, The Vanishing, Stick It, Bad Company, The Contender, Tideland, Stay Hungry, The Muse, TRON, Surf's Up, Chasing the Lotus, Arlington Road, Backstage at the Bowl, Texasville, Crazy Heart, George Sluizer - Filmen over grenzen, The Little Prince, Jagged Edge, Words from a Bear, Lolly-Madonna XXX, The Fabulous Baker Boys, Only the Brave, Iron Man, Austin City Limits Celebrates 40 Years, Lost in La Mancha, Scenes of the Crime, Final Cut: The Making and Unmaking of Heaven's Gate"
Kevin Spacey,"See No Evil, Hear No Evil, Rebel in the Rye, Inseparable, Telstar: The Joe Meek Story, The Life of David Gale, The Men Who Stare at Goats, Billionaire Boys Club, Iron Will, K-PAX, The Usual Suspects, Pay It Forward, Looking for Richard, Moon, Superman Returns, The United States of Leland, The Negotiator, NOW: In the Wings on a World Stage, Se7en, Outbreak, Swimming with Sharks, Edison, A Time to Kill, Midnight in the Garden of Good and Evil, The Big Kahuna, The Shipping News, Hurlyburly, Shrink, L.A. Confidential, Beyond the Sea, Elvis & Nixon, American Beauty, Ordinary Decent Criminal, Consenting Adults, Nine Lives, The Ref, Margin Call, 21, Uganda Rising, Father of Invention, A Bug's Life, Shakespeare High, Casino Jack"
Ni Yan,"Night of Adventure, Consider Yourself a Cadre, My Own Swordsman, Inseparable, Cow, I Am Your Mom, Gong ji da ming, mu ji xia dan, Some Like It Hot, Two Tigers, Yi an zhong hun, Wished, What a Wonderful Family!, The Great Magician, The Sky in Hakka Earth Building, Stolen Life, Relocate, All's Well, Ends Well 2011, Mural, A Woman, a Gun and a Noodle Shop"
Lei Huang,"Fleeing by Night, The Phantom Lover, Life on a String, San ge wei hun ma ma, Ge er men, Legend of a Rabbit: The Martial of Fire, Dad, Where Are We Going 2, One Step Away, 38 Degrees, What a Wonderful Family!"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Michael Cera,"Crystal Fairy & the Magical Cactus, Extreme Movie, Occupy Cannes!, Blazing Samurai, The Lego Batman Movie 2, Magic Magic, Lemon, Person to Person, Juno, Jonty, Superbad, Scott Pilgrim vs. the World, Nick and Norah's Infinite Playlist, Youth in Revolt, Sundance Skippy, Paper Heart, The Lego Batman Movie, Year One, Gloria Bell, Molly's Game"
Lloyd Kaufman,"Another Yeti a Love Story: Life on the Streets, Vault of Terror II: The Undead, Stick 10 Even More Swag: The United League of Stereotypes, Hell, Lord of the Undead, Werewolf Bitches from Outer Space, Penny Pinchers: The Kings of No-Budget Horror, Faces of the Dead, Suburban Legends: Life on Rainbow Road, The Killer Robots and the Battle for the Cosmic Potato, The Ungovernable Force, All the Love You Cannes!, More Blood!, Death of the Reel, Chainsaw Maidens from Hell, Death at a Barbecue, Mr. Blue Shirt: The Inspiration, The Battle of Love's Return, I Spill Your Guts, The Last Apartment, The Girl Who Played with the Dead, Blood Curse: The Haunting of Alicia Stone, Nowhere Man, The Streets Run Red, Slashening 2: The Final Beginning, The Black Spot, Survival of the Film Freaks, Grindsploitation 666, Hillbilly Bob Zombie, League of Superheroes, HellBilly 58, Direct to Video: Straight to Video Horror of the 90s, Untitled Radioactive Chicken Heads Documentary, Monkfish, Into the Outbreak, 911: Ten Years After, B-Documentary Part Two, Death on the D-List, Nick & Ophelia, Graveyard Stories, Terror Firmer, Confessions of a Teenage Filmmaker: The Dan Nastro Story, Absolute Vow, Aconite, Greetings from Tromaville, Horror House, Treasure Chest of Horrors, A Home for the Bullets, Blood Curse II: Asmodeus Rises, How 2 Make a Film: Billion $ Weekend, Stuck Like Chuck, Toxic Tutu, Occupy Cannes!, Splendor and Wisdom, Hellitosis: The Legend of Stankmouth, Sell Out, Dinner with Lloyd, The Fappening, Mosquito-Man, Outtake Reel, Grindsploitation, Corpus Kristi, The Last Zombi Hunter, Last Day of School, Killed on the Fourth of July, The Walking Dead Girls, Enter If You Dare: House on Creepy Lane Part 2, PUTA: People for the Upstanding Treatment of Animals, The Killer's Requiem, Misadventures in Space, House of Forbidden Secrets, Little Big Boy, Adjust Your Tracking, Trashtastic, Alcoholist, King Kaufman: The Passion of Lloyd, Grindsploitation 4: Meltsploitation, Film Trix"
Kaz B.,"Zombie Driftwood, Blood Curse: The Haunting of Alicia Stone, Beyond the Macabre, Do You Believe... In Ghosts?, Exploited"
James Barnes,"Vengeance, Morris, Do You Believe... In Ghosts?"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Nicolas Cage,"Red Rock West, Pig, The Frozen Ground, 8MM, Lord of War, Guarding Tess, Moonstruck, Primal, Seeking Justice, Left Behind, Trapped in Paradise, A Score to Settle, Hollywood Waterloo, World Trade Center, Kick-Ass, Con Air, Ghost Rider, The Family Man, Zandalee, Valley Girl, The Runner, Leaving Las Vegas, The Wicker Man, USS Indianapolis: Men of Courage, A Christmas Carol, Captain Corelli's Mandolin, Becoming Iconic, The Sorcerer's Apprentice, Stolen, Dark, Birdy, Inconceivable, The Rock, The Ant Bully, Time to Kill, Amos & Andrew, Between Worlds, Matchstick Men, Peggy Sue Got Married, Trespass, City of Angels, Snake Eyes, Mandy, Knowing, National Treasure: Book of Secrets, Raising Arizona, Was ich bin sind meine Filme - Teil 2... nach 30 Jahren, The Croods 2, Dying of the Light, The Boy in Blue, Season of the Witch, Racing with the Moon, Drive Angry, Bad Lieutenant: Port of Call New Orleans, Outcast, Prisoners of the Ghostland, Face/Off, Rage, Ghost Rider: Spirit of Vengeance, Mom and Dad, The Humanity Bureau, Color Out of Space, 211, Looking Glass, Honeymoon in Vegas, Dog Eat Dog, Pay the Ghost, Adaptation., The Weather Man, Kiss of Death, Running with the Devil, Vampire's Kiss, Joe, The Trust, Love, Antosha, Spaghetti Requiem, Next, National Treasure, It Could Happen to You, Army of One, Windtalkers, Too Tough to Die: A Tribute to Johnny Ramone, Deadfall, Vengeance: A Love Story, Kill Chain, Wild at Heart, Bangkok Dangerous, Astro Boy, Arsenal, Bringing Out the Dead, The Croods, Fire Birds, Gone in 60 Seconds"
Tom Sizemore,"The Immortal Wars, Better Criminal, The Saints of Mt. Christopher, Abstruse, Zyzzyx Rd, Dead Ringer, Passenger 57, Wish Man, Joe's War, Natural Born Killers, The Colombian Connection, The Pining, Striking Distance, Hunting Season, Five Thirteen, Game of Life, 7 Deadly Sins, Visible Scars, Devil in a Blue Dress, Nazi Overlord, Crosshairs, The Last Lullaby, The Speak, Radical, USS Indianapolis: Men of Courage, Swindle, The Litch, Strange Days, Remnants, Before I Sleep, Blood Circus, Chlorine, Suing the Devil, John Wynn's Mirror Mirror, When the Devil Rides Out, The Bronx Bull, The Genius Club, El bosc, The Trouble, Traded, Adrenochrome, The Relic, Hell Girl, Laugh Killer Laugh, The Assault, 5 Hour Friends, Bottom Feeder, Double Duty, WEAPONiZED, Unkillable, Auteur, If I Tell You I Have to Kill You, Born Killers, A Chance in the World, White Air, Red Planet, Ticker, Slumber Party Slaughter, A Broken Life, The Nickel Children, The Auctioneers, Bad Ass, Alternate Realities, The Acquirer, Secrets of Deception, Shut Up and Shoot!, Blood Runs Thick, Sky Kids, Cellmates, Contractor's Routine, Big Trouble, Beyond Valkyrie: Dawn of the 4th Reich, Bad Frank, The Martyr Maker, Protecting the King, Saving Private Ryan, Bordering on Bad Behavior, Black Hawk Down, I Am Not for Sale: The Fight to End Human Trafficking, The Slider, SWAT: Unit 887, The Banksters, Madoff with America, Black Gold, Calico Skies, The Age of Reason, Private Number, Assassin's Game, Shadows in Paradise, Welcome to America, The Drunk, Love Is Like That, Crossing Point, A Matter of Degrees, Atomica, Where Sleeping Dogs Lie, The Intruders, Splinter, Ole Bryce, Black Wake, Myra, Durant's Never Closes, Collar, Murder101, Wolf Mother, Cross 3"
Connie Jo Sechrist,"Doll Murder Spree, The Pining, Cognition, Aunt Betty"
Mark Angelosetti,"H20: Super Clash: 3 Year Anniversary Show, H20: Hustlemania 2, H20: Subterranean Violence, Vol. 5: 'Double Death Wars', The Stan Stylez Intergender Bonanza 2, The Stan Stylez Intergender Bonanza, H20: Hustlepalooza"
Sean Henderson,"WH20: Blood, Broads, and Barb Wire, H20: 2 Tuff 2 Quit, H20: Family - A Benefit for G-Raver, H20: Super Clash: 3 Year Anniversary Show, H20: Hustlepalooza"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Steve Guttenberg,"Alternate Universe: A Rescue Mission, Airborne, Police Academy 2: Their First Assignment, Jackson, The Bedroom Window, Police Academy 4: Citizens on Patrol, Home Team, Domino One, The Man Who Wasn't There, Diner, Zeus and Roxanne, Private Valentine: Blonde & Dangerous, I Heart Shakey, Bad Medicine, 3 Men and a Little Lady, Heckle, A Novel Romance, P.S. Your Cat Is Dead!, After Party, Quick to Duck, Police Academy 3: Back in Training, The Chicken Chronicles, The Boyfriend School, Ay Lav Yu, 3 Men and a Baby, Mojave Phone Booth, Cornered!, Making Change, Trauma Center, Overdrive, Police Academy, Short Circuit, Fatal Rescue, Help Me, Help You, The Big Green, Lookin' Up, High Spirits, It Takes Two, Surrender"
Ed Lauter,"Youngblood, Purple Heart, The Longest Yard, Grandpa's Place, Godspeed, Farewell, My Love, Hitz, Magic, Death Wish 3, Tennessee Waltz, Knight Club, Taken by Force, Gentleman B., The Chicken Chronicles, Under Investigation, Chief Zabu"
Joseph McKelheer,"Godspeed, Nightstalker, The Thompsons, Rampage: The Hillside Strangler Murders, The Hamiltons"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Michael Fassbender,"Trespass Against Us, Shame, X-Men: First Class, Fish Tank, Angel, 1, A Dangerous Method, The Snowman, The Light Between Oceans, Jane Eyre, Dark Phoenix, X-Men: Apocalypse, Steve Jobs, Eden Lake, Song to Song, Alien: Covenant, The Counselor, Blood Creek, Frank, Macbeth, Prometheus, Haywire, Assassin's Creed, Jonah Hex, 12 Years a Slave, The Furious Gods: Making Prometheus, Centurion"
Jonas Karlsson,"30:e november, Bad Faith, Bamse and the Witch's Daughter, Detaljer, Raspberry Boat Refugee, The Snowman, Storm, Cockpit, Offside, Den man älskar, Kim Novak Never Swam in Genesaret's Lake, Miffo, Tsatsiki, Mum and the Policeman, Winter Light Revisited, A Piece of My Heart, Ted - Show Me Love, Making Babies, Jag stannar tiden, Stockholm Stories, The Perfect Patient, Klick, Once in a Lifetime"
Samuel Haus,"Ingen så fin som du, Tsatsiki: Friends Forever, Tsatsiki, Mum and the Policeman"
Mohamed Said,"Ingen så fin som du, Say That You Love Me, Ensam Tillsammans"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Elisabeth Shue,"Link, Radio Inside, Leo, Waking Madison, Cocktail, Death Wish, Janie Jones, Palmetto, Hollow Man, The Marrying Man, The Karate Kid, Hamlet 2, The Trigger Effect, Cousin Bette, Mysterious Skin, Greyhound, Chasing Mavericks, Hide and Seek, Behaving Badly, Adventures in Babysitting, Piranha 3D, The Saint, First Born, Twenty Bucks, Gracie, The Underneath, Molly, Don McKay, House at the End of the Street, Leaving Las Vegas"
Taryn Manning,"The Brawler, Heaven's Rain, The Latin from Manhattan, Cult, A Winter Rose, Waking Madison, The Devil's Tomb, The Vault, Crossroads, The Breed, It Snows All the Time, Jack and Jill vs. the World, Groupie, A Lot Like Love, A Light Beneath Their Feet, Crabs in a Bucket, Happy Yummy Chicken, The Speed of Thought, Your Name Here, Five Thirteen, The Murder of Nicole Brown Simpson, Dandelion, Hustle & Flow, Blackmail, Weirdsville, All American Christmas Carol, The Amendment, Redemption Road, The Job"
Malik Barnhardt,"Who's Deal?, Raptors, Gangsta Rap: The Glockumentary, Five Thirteen, Dead End, Jada, The Power of Love, 45 Seconds"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Colin Firth,"What a Girl Wants, When Did You Last See Your Father?, A Christmas Carol, King George VI: The Man Behind the King's Speech, Kingsman: The Secret Service, The Mercy, Apartment Zero, My Life So Far, Tinker Tailor Soldier Spy, Fever Pitch, Gambit, Another Country, Hope Springs, Trauma, A Month in the Country, The Importance of Being Earnest, Playmaker, A Summer in Genoa, Der Weg des Ruhms, The Secret Garden, Valmont, A Single Man, The Advocate, Bridget Jones's Diary, St Trinian's II: The Legend of Fritton's Gold, Devil's Knot, Genius, Fourplay, The Secret Laughter of Women, Then She Found Me, Bridget Jones: The Edge of Reason, Dorian Gray, The Happy Prince, The Last Legion, Girl with a Pearl Earring, The Accidental Husband, Where the Truth Lies, Nanny McPhee, The Railway Man, Before I Go to Sleep, Arthur Newman, Easy Virtue, The King's Speech, Wings of Fame, Relative Values, Kingsman: The Golden Circle, Main Street, Magic in the Moonlight, Femme Fatale"
Peter O'Toole,"The Rainbow Thief, Eager to Die, The Last Emperor, Phantoms, The Seventh Coin, Rosebud, Dean Spanley, King Ralph, The Manor, Man Friday, Decline of an Empire, Rebecca's Daughters, Club Paradise, The Ruling Class, Sherlock Holmes and a Study in Scarlet, Global Heresy, Murphy's War, The Whole World at Our Feet, Supergirl, Man of La Mancha, The Nutcracker Prince, Sherlock Holmes and the Sign of Four, Foxtrot, Thomas Kinkade's Christmas Cottage, My Favorite Year, Sherlock Holmes and the Valley of Fear, The Final Curtain, Up to Date, Caligula, Venus, The Stunt Man, Isabelle Eberhardt, Wings of Fame, Power Play, Creator, Lassie, High Spirits, Brotherly Love, Under Milk Wood"
Richard Burton,"The Medusa Touch, The Voyage, Bluebeard, Absolution, Volcano: An Inquiry Into the Life and Death of Malcolm Lowry, To the Ends of the Earth, Raid on Rommel, The Assassination of Trotsky, The Battle of Sutjeska, Breakthrough, Equus, Lovespell, 1984, Hammersmith Is Out, The Klansman, Massacre in Rome, Exorcist II: The Heretic, Mystery of the Sacred Shroud, Jackpot, The Wild Geese, Villain, Under Milk Wood"
Donald Brittain,"King of the Hill, Overtime, On Guard for Thee, Part 1: The Most Dangerous Spy, Something to Celebrate, The Inheritance, On Guard for Thee, Part 3: Shadows of a Horseman, Those Roos Boys and Friends, The Champions, Part 3: The Final Battle, Docudrama: Fact and Fiction, Volcano: An Inquiry Into the Life and Death of Malcolm Lowry, Long Lance, Los Canadienses, The Lost Pharaoh: The Search for Akhenaten, Paperland: The Bureaucrat Observed, On Guard for Thee, Part 2: A Blanket of Ice, First Stop, China, Henry Ford's America, The Children's Crusade, The First Canadian Astronaut, The Champions, Part 1: Unlikely Warriors, The Champions, Part 2: Trappings of Power, See No Evil, Tommy Douglas: Keeper of the Flame"
